,To,Ti_sp,Tn2,Tn4,Tn5,Tn6,Tcor,Φo,Φi,Qa,Φa,Etot
2009-02-01 12:00:00+01:00,-3.5,20,20,20,20,20,20,582.7876609416007,298.01641752695485,0.0,1509.9498488032382,441.5058037436369
2009-02-01 13:00:00+01:00,-3.6,20,20,20,20,20,20,370.9109330649106,189.67036349910197,0.0,960.9965083954501,280.99313110978073
2009-02-01 14:00:00+01:00,-3.2,20,20,20,20,20,20,131.60104566222265,67.29598925909112,0.0,340.966345579395,99.69776186532017
2009-02-01 15:00:00+01:00,-3.1,20,20,20,20,20,20,78.4305177674859,40.10651476746437,0.0,203.20634148848617,59.41705891476204
2009-02-01 16:00:00+01:00,-3.1,20,20,20,20,20,20,43.429372800000024,22.208202000000007,0.0,112.52155680000006,32.901040000000016
2009-02-01 17:00:00+01:00,-3.3,20,20,20,20,20,20,17.556,8.9775,0.0,45.486000000000004,13.3
2009-02-01 18:00:00+01:00,-3.6,20,20,20,20,20,20,1.8479999999999999,0.9449999999999998,0.0,4.787999999999999,1.4
2009-02-01 19:00:00+01:00,-3.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-01 20:00:00+01:00,-3.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-01 21:00:00+01:00,-3.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-01 22:00:00+01:00,-3.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-01 23:00:00+01:00,-3.6,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 00:00:00+01:00,-3.7,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 01:00:00+01:00,-4.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 02:00:00+01:00,-3.7,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 03:00:00+01:00,-4.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 04:00:00+01:00,-4.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 05:00:00+01:00,-3.8,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 06:00:00+01:00,-3.9,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 07:00:00+01:00,-4.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 08:00:00+01:00,-4.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 09:00:00+01:00,-4.2,20,20,20,20,20,20,607.8176248201808,310.81583087395603,0.0,1574.8002097613773,460.46789759104604
2009-02-02 10:00:00+01:00,-4.2,20,20,20,20,20,20,704.6078171436217,360.3108155848065,0.0,1825.5747989630197,533.79380086638
2009-02-02 11:00:00+01:00,-4.1,20,20,20,20,20,20,695.8063991643897,355.81009048179016,0.0,1802.771125107737,527.1260599730225
2009-02-02 12:00:00+01:00,-3.2,20,20,20,20,20,20,595.1644996722808,304.3454827869617,0.0,1542.017112787273,450.88219672142486
2009-02-02 13:00:00+01:00,-2.7,20,20,20,20,20,20,380.2276106141884,194.43457360952812,0.0,985.1351729549426,288.0512201622639
2009-02-02 14:00:00+01:00,-2.1,20,20,20,20,20,20,137.90677938818513,70.52051218714011,0.0,357.30392841484326,104.47483286983721
2009-02-02 15:00:00+01:00,0.1,20,20,20,20,20,20,85.81399117215317,43.88215457666922,0.0,222.3362498551241,65.0105993728433
2009-02-02 16:00:00+01:00,0.1,20,20,20,20,20,20,48.049312080000014,24.570670950000004,0.0,124.49139948000004,36.40099400000001
2009-02-02 17:00:00+01:00,-1.4,20,20,20,20,20,20,19.404,9.922499999999998,0.0,50.273999999999994,14.7
2009-02-02 18:00:00+01:00,-2.5,20,20,20,20,20,20,1.8479999999999999,0.9449999999999998,0.0,4.787999999999999,1.4
2009-02-02 19:00:00+01:00,-3.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 20:00:00+01:00,-3.9,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 21:00:00+01:00,-4.1,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 22:00:00+01:00,-5.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 23:00:00+01:00,-6.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 00:00:00+01:00,-6.3,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 01:00:00+01:00,-6.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 02:00:00+01:00,-7.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 03:00:00+01:00,-7.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 04:00:00+01:00,-7.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 05:00:00+01:00,-5.7,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 06:00:00+01:00,-4.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 07:00:00+01:00,-3.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 08:00:00+01:00,-3.9,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 09:00:00+01:00,-3.3,20,20,20,20,20,20,598.4672011736561,306.03436423652863,0.0,1550.5741121317453,453.3842433133758
2009-02-03 10:00:00+01:00,-3.0,20,20,20,20,20,20,734.404836022619,375.54792751156646,0.0,1902.7761660586036,556.3673000171356
2009-02-03 11:00:00+01:00,-1.9,20,20,20,20,20,20,668.9514905371634,342.0774667519585,0.0,1733.1924982099233,506.7814322251238
2009-02-03 12:00:00+01:00,0.1,20,20,20,20,20,20,477.51755332658564,244.18511249654944,0.0,1237.2045699825171,361.7557222171103
2009-02-03 13:00:00+01:00,0.8,20,20,20,20,20,20,291.6223544330541,149.12506760781173,0.0,755.5670092129128,220.92602608564704
2009-02-03 14:00:00+01:00,1.4,20,20,20,20,20,20,164.78767934660843,84.26642693860657,0.0,426.94989648893994,124.83915102015789
2009-02-03 15:00:00+01:00,1.9,20,20,20,20,20,20,121.84395295399209,62.306566851473214,0.0,315.68660538079763,92.30602496514551
2009-02-03 16:00:00+01:00,1.4,20,20,20,20,20,20,69.30020064000001,35.4376026,0.0,179.55051984000002,52.50015200000001
2009-02-03 17:00:00+01:00,0.9,20,20,20,20,20,20,21.252000000000002,10.8675,0.0,55.062000000000005,16.1
2009-02-03 18:00:00+01:00,0.2,20,20,20,20,20,20,0.9239999999999999,0.4724999999999999,0.0,2.3939999999999997,0.7
2009-02-03 19:00:00+01:00,0.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 20:00:00+01:00,1.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 21:00:00+01:00,0.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 22:00:00+01:00,0.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 23:00:00+01:00,0.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 00:00:00+01:00,0.4,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 01:00:00+01:00,0.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 02:00:00+01:00,0.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 03:00:00+01:00,0.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 04:00:00+01:00,0.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 05:00:00+01:00,0.3,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 06:00:00+01:00,0.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 07:00:00+01:00,0.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 08:00:00+01:00,0.1,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 09:00:00+01:00,0.7,20,20,20,20,20,20,137.23365354482863,70.17630010815098,0.0,355.559920547965,103.96488904911259
2009-02-04 10:00:00+01:00,2.5,20,20,20,20,20,20,293.96433113581094,150.32266933081237,0.0,761.6348579427828,222.7002508604628
2009-02-04 11:00:00+01:00,5.4,20,20,20,20,20,20,378.0639754325823,193.32816925529775,0.0,979.5293908935087,286.41210260044113
2009-02-04 12:00:00+01:00,7.0,20,20,20,20,20,20,361.4324198005261,184.82339648890536,0.0,936.4385422104539,273.8124392428228
2009-02-04 13:00:00+01:00,7.2,20,20,20,20,20,20,296.32036271165356,151.5274582048228,0.0,767.7391215711024,224.4851232664042
2009-02-04 14:00:00+01:00,7.9,20,20,20,20,20,20,139.08722703711376,71.12415018943317,0.0,360.3623609597947,105.36911139175285
2009-02-04 15:00:00+01:00,7.3,20,20,20,20,20,20,93.50162540245685,47.813331171710885,0.0,242.25421127000183,70.83456469883095
2009-02-04 16:00:00+01:00,7.3,20,20,20,20,20,20,50.82119064000002,25.988108850000003,0.0,131.67308484000003,38.50090200000001
2009-02-04 17:00:00+01:00,7.0,20,20,20,20,20,20,19.404,9.922499999999998,0.0,50.273999999999994,14.7
2009-02-04 18:00:00+01:00,6.6,20,20,20,20,20,20,1.8479999999999999,0.9449999999999998,0.0,4.787999999999999,1.4
2009-02-04 19:00:00+01:00,6.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 20:00:00+01:00,5.1,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 21:00:00+01:00,4.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 22:00:00+01:00,4.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 23:00:00+01:00,3.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 00:00:00+01:00,3.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 01:00:00+01:00,2.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 02:00:00+01:00,2.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 03:00:00+01:00,3.4,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 04:00:00+01:00,3.3,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 05:00:00+01:00,2.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 06:00:00+01:00,2.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 07:00:00+01:00,2.6,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 08:00:00+01:00,2.5,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 09:00:00+01:00,3.5,20,20,20,20,20,20,612.3260421704392,313.1212715644291,0.0,1586.4811092597743,463.88336528063576
2009-02-05 10:00:00+01:00,6.0,20,20,20,20,20,20,723.566397972885,370.00554441795254,0.0,1874.6947583842928,548.1563621006704
2009-02-05 11:00:00+01:00,6.7,20,20,20,20,20,20,707.3894680159303,361.73325068996434,0.0,1832.7818034958195,535.9011121332805
2009-02-05 12:00:00+01:00,7.9,20,20,20,20,20,20,602.8030928781368,308.2515815854108,0.0,1561.8080133660815,456.6690097561642
2009-02-05 13:00:00+01:00,9.0,20,20,20,20,20,20,387.22318651284564,198.01185673952332,0.0,1003.2600741469182,293.3508988733679
2009-02-05 14:00:00+01:00,9.6,20,20,20,20,20,20,133.2621681295359,68.14542688442175,0.0,345.27016288107023,100.95618797692113
2009-02-05 15:00:00+01:00,10.1,20,20,20,20,20,20,87.47730931137183,44.73271498876968,0.0,226.64575594309972,66.27068887225138
2009-02-05 16:00:00+01:00,10.1,20,20,20,20,20,20,48.04943352000002,24.57073305000001,0.0,124.49171412000004,36.401086000000014
2009-02-05 17:00:00+01:00,9.1,20,20,20,20,20,20,21.252000000000002,10.8675,0.0,55.062000000000005,16.1
2009-02-05 18:00:00+01:00,7.8,20,20,20,20,20,20,2.7720000000000002,1.4175,0.0,7.182,2.1
2009-02-05 19:00:00+01:00,5.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 20:00:00+01:00,3.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 21:00:00+01:00,2.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 22:00:00+01:00,2.4,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 23:00:00+01:00,2.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 00:00:00+01:00,1.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 01:00:00+01:00,1.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 02:00:00+01:00,0.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 03:00:00+01:00,0.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 04:00:00+01:00,-0.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 05:00:00+01:00,-1.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 06:00:00+01:00,-1.9,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 07:00:00+01:00,-2.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 08:00:00+01:00,-2.5,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 09:00:00+01:00,0.7,20,20,20,20,20,20,651.7319496271157,333.27201969568415,0.0,1688.5782331247997,493.73632547508765
2009-02-06 10:00:00+01:00,3.7,20,20,20,20,20,20,795.0917227635687,406.58099459500664,0.0,2060.0103726147004,602.3422142148247
2009-02-06 11:00:00+01:00,4.8,20,20,20,20,20,20,765.8434971144848,391.6245155699069,0.0,1984.2308788875284,580.1844675109733
2009-02-06 12:00:00+01:00,7.2,20,20,20,20,20,20,618.4042114935756,316.229426331942,0.0,1602.229093415173,468.4880390102845
2009-02-06 13:00:00+01:00,9.5,20,20,20,20,20,20,388.61465378708266,198.72340250475816,0.0,1006.8652393574414,294.4050407477899
2009-02-06 14:00:00+01:00,10.9,20,20,20,20,20,20,133.87244106939664,68.45749827412328,0.0,346.8513245888913,101.41851596166413
2009-02-06 15:00:00+01:00,12.2,20,20,20,20,20,20,87.94850328350637,44.97366645179303,0.0,227.8665766890847,66.62765400265634
2009-02-06 16:00:00+01:00,12.1,20,20,20,20,20,20,48.04942560000002,24.570729000000007,0.0,124.49169360000005,36.401080000000015
2009-02-06 17:00:00+01:00,9.9,20,20,20,20,20,20,22.176000000000002,11.34,0.0,57.456,16.8
2009-02-06 18:00:00+01:00,6.8,20,20,20,20,20,20,2.7720000000000002,1.4175,0.0,7.182,2.1
2009-02-06 19:00:00+01:00,3.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 20:00:00+01:00,2.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 21:00:00+01:00,1.5,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 22:00:00+01:00,0.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 23:00:00+01:00,0.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 00:00:00+01:00,0.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 01:00:00+01:00,-1.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 02:00:00+01:00,-1.6,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 03:00:00+01:00,-2.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 04:00:00+01:00,-2.7,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 05:00:00+01:00,-2.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 06:00:00+01:00,-3.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 07:00:00+01:00,-3.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 08:00:00+01:00,-2.9,20,20,20,20,20,20,287.7907442860448,147.16572150990925,0.0,745.6396556502069,218.0232911257915
2009-02-07 09:00:00+01:00,0.4,20,20,20,20,20,20,703.0540160510881,359.5162582079427,0.0,1821.5490415869099,532.6166788265818
2009-02-07 10:00:00+01:00,3.5,20,20,20,20,20,20,849.6452047943349,434.47766154255754,0.0,2201.3534851489585,643.6706096926779
2009-02-07 11:00:00+01:00,4.9,20,20,20,20,20,20,806.1596162464851,412.2407128533162,0.0,2088.6862784568025,610.726982004913
2009-02-07 12:00:00+01:00,8.0,20,20,20,20,20,20,638.0396740090786,326.2702878455515,0.0,1653.1027917507945,483.3633894008171
2009-02-07 13:00:00+01:00,10.0,20,20,20,20,20,20,397.32331957050854,203.1766975076464,0.0,1029.4286007054084,301.00251482614283
2009-02-07 14:00:00+01:00,12.6,20,20,20,20,20,20,132.1128603554209,67.55771268174932,0.0,342.29241092086323,100.08550026925826
2009-02-07 15:00:00+01:00,12.5,20,20,20,20,20,20,90.79951070922858,46.43156797631006,0.0,235.25327774663768,68.78750811305196
2009-02-07 16:00:00+01:00,13.1,20,20,20,20,20,20,49.89751272000002,25.51577355000001,0.0,129.27991932000006,37.80114600000002
2009-02-07 17:00:00+01:00,10.8,20,20,20,20,20,20,22.176000000000002,11.34,0.0,57.456,16.8
2009-02-07 18:00:00+01:00,7.5,20,20,20,20,20,20,2.7720000000000002,1.4175,0.0,7.182,2.1
